Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
367,Landry Shamet,27,NYK,SG,49,0,14.7,2,4.3,0.455,1.1,2.9,0.385,0.9,1.4,0.6,0.585,0.2,0.3,0.571,0.2,1,1.2,0.6,0.4,0,0.4,1,5.2,
368,Ben Simmons,28,2TM,PG,50,24,22.2,2.3,4.5,0.52,0,0,,2.3,4.5,0.52,0.52,0.5,0.7,0.727,0.9,3.9,4.8,5.7,0.8,0.5,2,2.1,5.1,
368,Ben Simmons,28,BRK,PG,33,24,25,2.8,5.2,0.547,0,0,,2.8,5.2,0.547,0.547,0.5,0.8,0.692,0.9,4.3,5.2,6.9,0.8,0.5,2.7,2.5,6.2,
368,Ben Simmons,28,LAC,PG,17,0,16.7,1.4,3.1,0.434,0,0,,1.4,3.1,0.434,0.434,0.4,0.4,0.857,0.9,3.1,3.9,3.2,0.7,0.4,0.8,1.4,3.1,
369,Javonte Green,31,2TM,SG,67,18,18.5,1.8,4.1,0.433,0.7,2,0.338,1.1,2.1,0.525,0.516,0.8,1.1,0.724,0.9,2.4,3.2,0.8,0.9,0.4,0.5,1.4,5.1,
369,Javonte Green,31,NOP,SG,50,18,21.8,2,4.5,0.446,0.8,2.2,0.352,1.2,2.3,0.534,0.531,1,1.3,0.758,1,2.6,3.6,0.9,1.1,0.6,0.6,1.5,5.8,
369,Javonte Green,31,CLE,SG,17,0,8.6,1.1,3,0.373,0.5,1.6,0.286,0.6,1.4,0.478,0.451,0.3,0.6,0.5,0.5,1.7,2.2,0.5,0.5,0,0.2,0.9,3,
370,Alex Reese,25,2TM,PF,15,0,14.4,1.7,3.6,0.481,1,2.7,0.366,0.7,0.9,0.846,0.62,0.6,0.8,0.75,0.6,2.5,3.1,0.3,0.7,0.7,0.4,1.4,5.1,
370,Alex Reese,25,OKC,PF,1,0,2,1,1,1,0,0,,1,1,1,1,0,0,,1,0,1,0,0,0,0,0,2,
370,Alex Reese,25,PHI,PF,14,0,15.3,1.8,3.8,0.472,1.1,2.9,0.366,0.7,0.9,0.833,0.613,0.6,0.9,0.75,0.6,2.7,3.3,0.3,0.7,0.7,0.4,1.5,5.3,
371,Monte Morris,29,PHO,PG,44,0,12.5,1.8,4.3,0.426,0.7,1.9,0.354,1.2,2.4,0.481,0.503,0.8,1,0.857,0.3,1.2,1.5,1.6,0.5,0.1,0.5,0.5,5.1,
372,Mitchell Robinson,26,NYK,C,17,3,17.1,2.2,3.3,0.661,0,0,,2.2,3.3,0.661,0.661,0.8,1.1,0.684,3.1,2.9,5.9,0.8,0.9,1.1,0.6,1.5,5.1,
373,Jabari Walker,22,POR,SF,59,1,12.3,1.9,3.7,0.518,0.5,1.2,0.389,1.5,2.5,0.581,0.582,0.8,1.2,0.681,1,2.5,3.5,0.6,0.6,0.1,0.6,1.5,5.1,
374,Keaton Wallace,25,ATL,PG,30,4,15.5,1.9,4.7,0.408,0.9,2.5,0.347,1.1,2.2,0.478,0.5,0.4,0.4,1,0.2,1.1,1.3,2.2,0.8,0.3,1,1.2,5.1,
375,Neemias Queta,25,BOS,C,61,6,13.7,2.1,3.2,0.662,0,0,0,2.1,3.2,0.672,0.662,0.8,1,0.754,1.4,2.3,3.8,0.7,0.3,0.7,0.7,1.7,5,
376,Alondes Williams,25,DET,SG,1,0,4,2,2,1,1,1,1,1,1,1,1.25,0,0,,0,0,0,1,0,0,0,0,5,
377,Jaylen Martin,21,2TM,SF,16,0,14.9,1.9,4.6,0.419,0.4,1.4,0.304,1.5,3.2,0.471,0.466,0.6,0.6,0.9,0.7,2.1,2.8,1.1,0.6,0,0.8,0.9,4.9,
377,Jaylen Martin,21,BRK,SF,3,0,1.7,0.3,0.7,0.5,0.3,0.3,1,0,0.3,0,0.75,0,0,,0,0,0,0,0,0,0,0.3,1,
377,Jaylen Martin,21,WAS,SF,13,0,18,2.3,5.5,0.417,0.5,1.7,0.273,1.8,3.8,0.48,0.458,0.7,0.8,0.9,0.8,2.5,3.4,1.3,0.7,0,0.9,1,5.8,
378,Malaki Branham,21,SAS,SG,46,0,8.9,1.8,4,0.446,0.7,1.8,0.398,1.1,2.2,0.485,0.535,0.5,0.7,0.806,0.1,0.9,1,0.8,0.2,0,0.7,0.6,4.9,
379,Jamal Cain,25,NOP,SF,36,0,13.2,1.7,4,0.431,0.7,2.1,0.329,1,1.9,0.544,0.517,0.8,1.2,0.69,0.7,1.6,2.3,0.6,0.6,0.3,0.6,1.2,4.9,
380,Trevelin Queen,27,ORL,SG,31,2,13.9,1.8,4.7,0.381,0.7,2.5,0.286,1.1,2.3,0.486,0.456,0.6,0.7,0.857,0.8,0.9,1.7,1.2,1,0.3,0.7,1.2,4.9,
381,Kai Jones,24,2TM,C,39,6,11.3,2.1,2.6,0.804,0,0.1,0.25,2.1,2.5,0.827,0.809,0.6,0.8,0.733,1,2,3,0.6,0.4,0.6,0.4,1.3,4.8,
381,Kai Jones,24,LAC,C,28,0,7.4,0.9,1.3,0.722,0,0.1,0,0.9,1.2,0.765,0.722,0.3,0.4,0.75,0.5,1.1,1.6,0.4,0.2,0.5,0.4,0.8,2.2,
381,Kai Jones,24,DAL,C,11,6,21.3,5.1,6,0.848,0.1,0.2,0.5,5,5.8,0.859,0.856,1.2,1.6,0.722,2.1,4.4,6.5,1.2,0.7,0.9,0.5,2.5,11.5,
382,David Roddy,23,3TM,PF,32,3,12.7,1.7,3.8,0.447,0.6,1.9,0.311,1.1,1.9,0.581,0.524,0.6,0.8,0.833,0.4,2.2,2.6,1.1,0.4,0.3,0.7,0.6,4.7,
382,David Roddy,23,ATL,PF,27,3,12.8,1.6,3.4,0.473,0.6,1.6,0.372,1,1.9,0.56,0.559,0.7,0.8,0.818,0.4,2.2,2.6,1.1,0.4,0.3,0.7,0.7,4.5,
382,David Roddy,23,PHI,PF,3,0,9.7,2.7,6.3,0.421,0.7,3.7,0.182,2,2.7,0.75,0.474,0,0,,0.7,2.3,3,1,0.7,0,0.3,0.3,6,
382,David Roddy,23,HOU,PF,2,0,15.5,1.5,5.5,0.273,0.5,3.5,0.143,1,2,0.5,0.318,1,1,1,0,2,2,1,0,0.5,0.5,0.5,4.5,
383,Lindy Waters III,27,2TM,SG,51,9,14.6,1.7,4.6,0.369,1.1,3.3,0.341,0.5,1.2,0.444,0.494,0.2,0.2,0.727,0.4,1.6,2,1,0.5,0.2,0.4,1.2,4.7,
383,Lindy Waters III,27,GSW,SG,38,9,17.2,2,5.4,0.371,1.3,3.9,0.331,0.7,1.5,0.474,0.49,0.2,0.3,0.727,0.4,2.1,2.5,1.1,0.6,0.3,0.4,1.4,5.5,
383,Lindy Waters III,27,DET,SG,13,0,6.8,0.8,2.2,0.357,0.7,1.7,0.409,0.1,0.5,0.167,0.518,0,0,,0.3,0.3,0.6,0.7,0.3,0,0.2,0.5,2.2,
384,Taylor Hendricks,21,UTA,PF,3,3,25,1.3,6,0.222,1,4,0.25,0.3,2,0.167,0.306,1,1.3,0.75,1.7,3.3,5,0.7,1.7,1.3,0.7,2.7,4.7,
385,Drew Eubanks,27,2TM,C,61,4,12.2,1.9,3.2,0.593,0,0.1,0.5,1.8,3.1,0.596,0.601,0.8,1.2,0.662,1,2.7,3.7,0.9,0.2,0.6,0.7,1,4.6,
385,Drew Eubanks,27,UTA,C,37,4,15.4,2.4,3.9,0.607,0.1,0.1,0.6,2.3,3.8,0.607,0.617,1,1.5,0.632,1.1,3.5,4.5,1.2,0.3,0.9,0.8,1.2,5.8,
385,Drew Eubanks,27,LAC,C,24,0,7.4,1.1,2,0.551,0,0,0,1.1,2,0.563,0.551,0.5,0.6,0.786,0.8,1.6,2.4,0.4,0.1,0.3,0.4,0.7,2.7,
386,Jock Landale,29,HOU,C,41,3,12,1.9,3.6,0.517,0.2,0.6,0.4,1.6,3,0.541,0.551,0.7,1,0.675,1.3,1.9,3.3,0.9,0.3,0.2,0.5,1.2,4.6,
