Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
284,A.J. Green,25,MIL,SG,43,5,21.9,2.6,5.9,0.439,2.2,5,0.429,0.4,0.8,0.5,0.623,0.3,0.3,0.867,0.3,2,2.3,1.3,0.5,0.1,0.6,2.1,7.6,
285,Jay Huff,26,MEM,C,45,1,12.6,2.7,5.1,0.524,1.4,3.4,0.421,1.2,1.7,0.727,0.664,0.8,1.1,0.771,0.5,1.7,2.2,0.6,0.2,0.9,0.6,1.4,7.6,
286,Taurean Prince,30,MIL,SF,50,43,25.7,2.7,6,0.457,1.8,3.9,0.456,1,2.1,0.458,0.603,0.4,0.5,0.792,0.5,3.1,3.6,2,0.8,0.1,1,2,7.6,
287,Josh Green,24,CHO,SG,45,44,28.6,2.6,6,0.438,1.4,3.5,0.41,1.2,2.6,0.474,0.555,0.8,1.1,0.7,1,1.9,2.8,1.5,1.1,0.2,0.9,2.7,7.5,
288,Johnny Juzang,23,UTA,SG,35,5,17.8,2.6,6.1,0.425,1.7,4.3,0.403,0.9,1.8,0.476,0.566,0.7,0.8,0.852,0.6,2.1,2.7,1,0.4,0.1,0.5,2,7.5,
289,Garrison Mathews,28,ATL,SG,43,2,17.7,2.1,5.5,0.39,1.8,4.7,0.385,0.3,0.8,0.417,0.553,1.5,1.8,0.829,0.3,1.5,1.8,1.3,0.6,0.3,0.7,1.7,7.5,
290,Vasilije Micić,31,CHO,PG,36,16,21.2,2.6,7.6,0.348,1.3,3.5,0.36,1.4,4.1,0.338,0.43,0.9,1.1,0.829,0.6,1.9,2.4,3.5,0.4,0,2.1,1.2,7.5,
291,Sam Hauser,27,BOS,PF,44,7,19.8,2.7,6,0.44,2.1,5.2,0.397,0.6,0.8,0.703,0.611,0,0,1,0.6,2.3,2.9,1,0.7,0.2,0.4,1.1,7.4,
292,Jake LaRavia,23,2TM,PF,48,0,20.7,2.5,5.1,0.494,0.9,1.9,0.446,1.7,3.2,0.523,0.578,1.4,2,0.698,1.4,2.9,4.3,2.8,0.9,0.5,1.5,1.9,7.3,
293,Jake LaRavia,23,MEM,PF,47,0,20.9,2.5,5.1,0.49,0.9,1.9,0.444,1.7,3.2,0.517,0.573,1.4,2,0.698,1.4,2.9,4.4,2.8,0.9,0.4,1.5,2,7.3,
294,Jake LaRavia,23,SAC,PF,1,0,12,3,4,0.75,1,2,0.5,2,2,1,0.875,0,0,,1,1,2,2,1,2,1,1,7,
295,Cameron Payne,30,NYK,PG,46,1,14.3,2.6,6,0.426,1.4,3.7,0.385,1.2,2.3,0.491,0.543,0.8,0.8,0.897,0.2,1.2,1.4,2.5,0.6,0.2,0.6,1.6,7.3,
296,Cason Wallace,21,OKC,SG,46,32,27.4,3,6.8,0.442,1,2.9,0.333,2,3.8,0.525,0.514,0.3,0.4,0.778,1.1,2.4,3.5,2.4,1.8,0.6,0.7,2.2,7.3,
297,Lonzo Ball,27,CHI,PG,30,9,21.6,2.4,6.5,0.362,1.8,5.4,0.34,0.5,1.1,0.471,0.503,0.6,0.7,0.857,0.7,2.8,3.4,3.5,1.5,0.5,1.2,1.7,7.2,
298,Bones Hyland,24,LAC,PG,20,0,11.1,2.3,5.8,0.391,1.6,4,0.388,0.7,1.8,0.4,0.526,1.2,1.3,0.885,0.3,1,1.2,1.4,0.9,0.2,1.2,1.3,7.2,
299,Sam Merrill,28,CLE,SG,43,2,18.9,2.3,6,0.393,1.9,5.2,0.359,0.5,0.8,0.618,0.549,0.6,0.6,0.962,0.5,1.4,1.9,1.6,0.6,0.2,0.5,1.8,7.1,
300,Kelly Olynyk,33,TOR,C,24,2,16,2.5,4.9,0.5,0.8,1.8,0.442,1.7,3.1,0.533,0.581,1.4,1.8,0.791,1,2.7,3.7,2.3,0.7,0.3,1.5,2.5,7.1,
301,Eric Gordon,36,PHI,SG,38,13,20,2.3,5.4,0.426,1.5,3.6,0.409,0.8,1.8,0.463,0.564,0.9,1.3,0.75,0.2,1,1.2,1.7,0.7,0.3,0.7,0.8,7,
302,Isaiah Jackson,23,IND,C,5,1,16.8,2.8,4.6,0.609,0,0,,2.8,4.6,0.609,0.609,1.4,2.8,0.5,2.2,3.4,5.6,1,0.6,1.6,1,2.8,7,
303,Josh Okogie,26,2TM,SG,32,2,15.6,2.5,5.2,0.473,0.8,2,0.385,1.7,3.2,0.529,0.548,1.2,1.6,0.725,1.3,1.7,3,0.8,1.3,0.5,0.8,1.2,6.9,
304,Josh Okogie,26,PHO,SG,25,1,14,2.2,4.6,0.491,0.6,1.7,0.381,1.6,2.9,0.556,0.561,0.9,1.3,0.688,1.3,1.6,2.9,0.6,0.8,0.4,0.6,1.1,6,
305,Josh Okogie,26,CHO,SG,7,1,21.3,3.3,7.6,0.434,1.3,3.3,0.391,2,4.3,0.467,0.519,2.1,2.7,0.789,1.3,2.1,3.4,1.4,2.7,0.7,1.3,1.6,10,
306,Jared Butler,24,WAS,PG,32,0,11.3,2.7,5.5,0.483,0.5,1.3,0.366,2.2,4.2,0.519,0.526,1.1,1.4,0.778,0.4,0.8,1.3,2.6,0.4,0.2,0.9,1.3,6.9,
307,Torrey Craig,34,CHI,SF,9,1,12.6,2.4,5,0.489,1.7,3.9,0.429,0.8,1.1,0.7,0.656,0.3,0.4,0.75,0.9,1.9,2.8,0.6,0.2,0.1,0,1.7,6.9,
308,Andre Drummond,31,PHI,C,29,16,18.8,2.8,5.6,0.509,0,0.4,0.091,2.8,5.2,0.54,0.512,1.2,2.1,0.574,2.4,5.1,7.5,0.6,1.1,0.4,1.6,2.4,6.9,
309,Ryan Dunn,22,PHO,SF,47,28,19,2.8,6.2,0.445,1,3.3,0.314,1.7,3,0.59,0.527,0.2,0.5,0.478,1,2.4,3.4,0.9,0.4,0.6,0.4,2.3,6.8,
310,Vit Krejci,24,ATL,PG,38,15,20.9,2.4,5.5,0.443,1.4,3.8,0.385,1,1.8,0.567,0.574,0.5,0.8,0.655,0.4,2.4,2.8,2.7,0.7,0.5,0.9,1.9,6.8,
311,Ricky Council IV,23,PHI,SF,43,4,14.9,2.2,5.3,0.417,0.7,2.3,0.31,1.5,3,0.5,0.485,1.5,1.8,0.808,0.7,1.7,2.4,1.1,0.5,0.2,0.6,0.9,6.7,
312,Mouhamed Gueye,22,ATL,PF,6,2,15.2,3,7,0.429,0.3,3.2,0.105,2.7,3.8,0.696,0.452,0.3,0.5,0.667,0.8,3.7,4.5,0.3,1.2,1,0.2,0.8,6.7,
313,Elfrid Payton,30,NOP,PG,7,3,20.6,3.3,6.6,0.5,0,0.1,0,3.3,6.4,0.511,0.5,0.1,0.3,0.5,0.7,2.7,3.4,6.9,1.4,0.4,2.9,1.4,6.7,
