Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
377,Kevon Looney,28,GSW,C,46,6,16.2,2.2,4.2,0.521,0,0,0,2.2,4.2,0.526,0.521,0.7,1.3,0.516,3,4,6.9,1.8,0.7,0.4,0.6,2.2,5.1,
378,Gary Payton II,32,GSW,SG,41,10,13.4,2.2,4,0.536,0.3,1.3,0.212,1.9,2.8,0.684,0.569,0.5,0.7,0.724,0.9,2.1,3,1.2,0.6,0.3,0.7,1.7,5.1,
379,Ryan Rollins,22,MIL,PG,34,6,12.2,1.9,4.1,0.46,0.6,1.7,0.373,1.2,2.4,0.525,0.54,0.6,0.7,0.826,0.4,1.2,1.6,1.2,0.7,0.4,0.9,1.4,5,
380,Alondes Williams,25,DET,SG,1,0,4,2,2,1,1,1,1,1,1,1,1.25,0,0,,0,0,0,1,0,0,0,0,5,
381,Marvin Bagley III,25,WAS,C,19,1,8.7,2,3.7,0.535,0.1,0.5,0.2,1.9,3.2,0.59,0.549,0.8,1.2,0.652,1.4,1.5,2.9,0.4,0.4,0.3,0.6,0.6,4.9,
382,Donovan Clingan,20,POR,C,39,10,15.8,2.1,3.9,0.519,0.2,0.6,0.273,1.9,3.4,0.561,0.539,0.6,1,0.658,2.6,3.8,6.4,0.7,0.4,1.5,1.2,2.5,4.9,
383,Monte Morris,29,PHO,PG,40,0,13.1,1.7,4.3,0.404,0.6,1.8,0.301,1.2,2.5,0.48,0.468,0.9,1,0.85,0.3,1.2,1.4,1.7,0.4,0.1,0.4,0.5,4.9,
384,Tidjane Salaün,19,CHO,PF,36,8,18.5,1.7,5.1,0.33,0.9,3.1,0.292,0.8,1.9,0.391,0.42,0.7,1,0.686,1.1,3.1,4.1,1.1,0.6,0.2,0.9,1.3,4.9,
385,Bol Bol,25,PHO,PF,16,0,8.8,1.8,3.6,0.509,0.6,1.9,0.29,1.3,1.6,0.769,0.588,0.5,0.8,0.667,0.6,1.4,1.9,0.4,0.1,0.6,0.4,0.2,4.7,
386,Moussa Diabaté,23,CHO,C,42,5,19,2,3.3,0.594,0,0,0,2,3.2,0.603,0.594,0.8,1.4,0.559,3.1,4,7.1,0.9,0.7,0.7,0.9,1.6,4.7,
387,Taylor Hendricks,21,UTA,PF,3,3,25,1.3,6,0.222,1,4,0.25,0.3,2,0.167,0.306,1,1.3,0.75,1.7,3.3,5,0.7,1.7,1.3,0.7,2.7,4.7,
388,Sandro Mamukelashvili,25,SAS,PF,31,0,8.3,1.7,3,0.565,0.7,1.7,0.426,0.9,1.2,0.763,0.69,0.6,0.9,0.704,0.6,1.8,2.4,0.5,0.2,0.3,0.4,0.6,4.7,
389,Jordan Miller,25,LAC,SF,30,0,12.4,1.8,4.2,0.429,0.3,1.2,0.222,1.5,3,0.511,0.46,0.9,1.1,0.788,0.7,1,1.7,1.1,0.5,0.2,0.7,0.7,4.7,
390,Trevelin Queen,27,ORL,SG,23,2,15.2,1.8,4.9,0.366,0.7,2.6,0.271,1.1,2.3,0.472,0.438,0.5,0.6,0.846,0.9,0.9,1.7,1.4,1,0.3,0.9,1.6,4.7,
391,Mo Bamba,26,LAC,C,28,2,12.6,1.7,3.7,0.466,0.5,1.8,0.3,1.2,1.9,0.623,0.539,0.6,0.9,0.68,0.9,3.4,4.3,0.6,0.3,1,0.7,1.8,4.6,
392,Charles Bassey,24,SAS,C,32,1,10.8,2,3.4,0.573,0,0,,2,3.4,0.573,0.573,0.7,1,0.636,1.7,2.8,4.6,0.4,0.4,0.9,0.7,1.4,4.6,
393,Zach Collins,27,SAS,C,36,4,11.8,1.7,3.7,0.462,0.4,1.3,0.304,1.3,2.4,0.547,0.515,0.9,1,0.886,1.1,1.8,2.8,1.4,0.4,0.4,0.6,1.9,4.6,
394,Malaki Branham,21,SAS,SG,30,0,9.6,1.6,3.8,0.434,0.7,1.8,0.396,0.9,2,0.467,0.527,0.6,0.7,0.85,0.1,1,1.1,0.9,0.2,0.1,0.9,0.5,4.5,
395,Trentyn Flowers,19,LAC,SF,2,0,8,2,4.5,0.444,0,1,0,2,3.5,0.571,0.444,0.5,0.5,1,0.5,1.5,2,0,0,0,0.5,1.5,4.5,
396,Kylor Kelley,27,DAL,C,4,1,13.5,1.8,2.3,0.778,0,0,,1.8,2.3,0.778,0.778,1,1.5,0.667,1.8,2.8,4.5,0.3,0,0.5,0.3,1.5,4.5,
397,Dariq Whitehead,20,BRK,SF,8,0,7,1.5,3.1,0.48,1.4,2.6,0.524,0.1,0.5,0.25,0.7,0.1,0.4,0.333,0.1,0.5,0.6,0.1,0.4,0.1,0.4,0.3,4.5,
398,David Roddy,23,ATL,PF,27,3,12.8,1.6,3.4,0.473,0.6,1.6,0.372,1,1.9,0.56,0.559,0.7,0.8,0.818,0.4,2.2,2.6,1.1,0.4,0.3,0.7,0.7,4.5,
399,Pat Connaughton,32,MIL,SG,29,0,15.3,1.7,3.9,0.425,0.7,2.1,0.323,1,1.8,0.549,0.513,0.4,0.6,0.765,0.6,2.2,2.8,1.7,0.1,0.3,0.6,1.1,4.4,
400,Jett Howard,21,ORL,SF,44,0,10.9,1.6,4.2,0.375,1,3,0.323,0.6,1.2,0.5,0.489,0.3,0.4,0.833,0.4,0.8,1.2,0.6,0.2,0.2,0.5,1,4.4,
401,Reggie Jackson,34,PHI,PG,31,1,12.4,1.7,4.3,0.391,0.8,2.4,0.338,0.9,1.9,0.458,0.485,0.2,0.3,0.778,0.3,1.1,1.4,1.5,0.5,0.1,0.5,1.1,4.4,
402,Paul Reed,25,DET,C,29,0,9.9,1.7,3.2,0.533,0.2,0.6,0.333,1.5,2.6,0.581,0.565,0.7,0.9,0.84,0.9,1.6,2.5,1,1.1,0.6,0.5,1.7,4.3,
403,Daniel Theis,32,NOP,C,38,9,16.3,1.6,3.4,0.473,0.2,1,0.243,1.4,2.4,0.565,0.508,0.8,1,0.838,1.2,3.2,4.3,1.6,0.5,0.5,0.7,1.8,4.3,
404,Tristan Vukcevic,21,WAS,C,12,0,7.6,1.6,3.6,0.442,0.5,1.8,0.273,1.1,1.8,0.619,0.512,0.6,0.9,0.636,0.8,1.4,2.2,0.8,0.2,0.1,0.5,0.8,4.3,
405,Tre Jones,25,2TM,PG,29,0,16.1,1.6,3.3,0.469,0.3,0.9,0.308,1.3,2.4,0.529,0.51,0.9,1.1,0.758,0.5,1.6,2.1,3.7,0.7,0.2,0.7,1.2,4.2,
406,Tre Jones,25,SAS,PG,28,0,16.1,1.6,3.3,0.484,0.3,0.9,0.308,1.3,2.4,0.552,0.527,0.9,1.2,0.758,0.5,1.5,2.1,3.7,0.6,0.2,0.8,1.2,4.4,
407,Tre Jones,25,CHI,PG,1,0,18,0,3,0,0,0,,0,3,0,0,0,0,,0,2,2,3,1,0,0,2,0,
408,Aaron Holiday,28,HOU,PG,37,1,11.2,1.4,3.4,0.417,0.8,2.3,0.369,0.6,1.2,0.512,0.539,0.5,0.5,0.895,0.2,0.8,0.9,1.2,0.4,0.1,0.5,1,4.2,
409,Kyle Lowry,38,PHI,PG,32,12,19.3,1.2,3.5,0.351,0.9,2.6,0.337,0.3,0.9,0.393,0.477,0.8,1,0.818,0.3,1.7,2,2.9,1,0.3,0.6,1.9,4.2,
410,Julian Phillips,21,CHI,SF,51,3,12.8,1.5,3.4,0.445,0.6,1.8,0.326,0.9,1.6,0.58,0.532,0.6,0.9,0.727,0.9,1.1,2,0.4,0.4,0.2,0.4,1.3,4.2,
411,Antonio Reeves,24,NOP,SG,21,0,9.5,1.6,4,0.41,0.7,2.1,0.311,1,1.8,0.526,0.494,0.3,0.4,0.875,0.3,0.6,0.9,0.7,0.3,0,0.2,0.4,4.2,
412,Jeff Green,38,HOU,PF,14,2,10.4,1.5,2.8,0.538,0.6,1.7,0.333,0.9,1.1,0.867,0.641,0.5,0.6,0.778,0.1,1.1,1.3,0.2,0.2,0.1,0.3,1,4.1,
413,Kris Murray,24,POR,SF,44,0,13.5,1.7,3.6,0.459,0.4,1.5,0.266,1.3,2.2,0.589,0.513,0.4,0.8,0.444,1,1.2,2.2,0.8,0.4,0.2,0.5,0.9,4.1,
414,Gui Santos,22,GSW,PF,27,1,12.6,1.4,2.9,0.487,0.8,1.9,0.42,0.6,1,0.607,0.622,0.5,0.8,0.667,1.1,1.6,2.8,1.1,0.3,0.1,0.6,1.5,4.1,
415,Josh Richardson,31,MIA,SG,8,0,18.8,1.4,4.8,0.289,0.8,2.8,0.273,0.6,2,0.313,0.368,0.5,0.5,1,0.8,0.8,1.5,1.5,1,0.1,1,2.1,4,
416,Cam Spencer,24,MEM,SG,10,0,12.1,1.3,3,0.433,0.5,1.6,0.313,0.8,1.4,0.571,0.517,0.9,0.9,1,0.5,1.2,1.7,1.6,0.3,0.1,0.5,1.1,4,
417,Oscar Tshiebwe,25,UTA,C,4,0,13.5,1,1.5,0.667,0,0,,1,1.5,0.667,0.667,2,2.5,0.8,1.8,4,5.8,0.3,1.3,0,0.3,3,4,
418,Patty Mills,36,2TM,PG,19,0,14.2,1.4,4.2,0.329,0.9,3.2,0.283,0.5,1,0.474,0.437,0.3,0.3,1,0.2,0.9,1.1,1.2,0.7,0.2,0.8,0.7,3.9,
419,Patty Mills,36,UTA,PG,17,0,15.3,1.5,4.5,0.342,1,3.4,0.298,0.5,1.1,0.474,0.454,0.3,0.3,1,0.2,1.1,1.2,1.2,0.7,0.2,0.9,0.7,4.4,
420,Patty Mills,36,LAC,PG,2,0,4.5,0,1.5,0,0,1.5,0,0,0,,0,0,0,,0,0,0,1,0.5,0,0,0.5,0,
421,Ousmane Dieng,21,OKC,C,29,0,11.4,1.4,3.6,0.404,0.6,2,0.288,0.9,1.6,0.556,0.486,0.4,0.6,0.688,0.5,1.8,2.3,0.9,0.5,0.2,0.5,0.9,3.9,
422,Andre Jackson Jr.,23,MIL,SG,48,40,17.4,1.6,3.4,0.469,0.5,1.4,0.382,1,2,0.532,0.549,0.2,0.4,0.556,1.1,2.1,3.3,1.5,0.6,0.3,1,2.1,3.9,
423,Mason Plumlee,34,PHO,C,51,18,17.7,1.5,2.6,0.567,0,0,0,1.5,2.6,0.576,0.567,0.9,1.5,0.627,1.7,4.7,6.3,1.9,0.5,0.8,0.9,2.2,3.9,
424,Micah Potter,26,UTA,C,23,9,17.6,1.3,3.2,0.419,1,2.6,0.373,0.4,0.7,0.6,0.568,0.3,0.3,0.857,1,2.8,3.8,0.8,0.2,0.4,0.7,1.3,3.9,
425,Dalen Terry,22,CHI,SG,48,1,12.5,1.4,3,0.459,0.4,1.1,0.352,1,1.9,0.522,0.524,0.7,1,0.681,0.6,0.9,1.5,1.2,0.5,0.2,0.7,1.5,3.9,
426,Pelle Larsson,23,MIA,SG,33,1,12.8,1.4,3,0.459,0.5,1.4,0.319,0.9,1.5,0.588,0.536,0.7,1,0.667,0.4,1.1,1.5,0.9,0.5,0.1,0.4,1.7,3.8,
427,Dario Šarić,30,DEN,C,13,4,14.8,1.4,4.2,0.333,0.5,1.8,0.25,0.9,2.3,0.4,0.389,0.5,0.8,0.7,1,2.6,3.6,1.7,0.5,0.1,1.1,1.4,3.8,
428,Jae'Sean Tate,29,HOU,SF,33,2,11.2,1.4,3,0.48,0.2,0.7,0.261,1.2,2.3,0.547,0.51,0.8,1.1,0.676,0.9,1.2,2.1,0.9,0.6,0.1,0.4,1.8,3.8,
429,Cody Williams,20,UTA,SG,27,12,20.7,1.4,4.6,0.301,0.6,2.4,0.231,0.8,2.1,0.379,0.362,0.5,0.8,0.636,0.6,1.6,2.2,1.3,0.5,0.4,0.9,1.8,3.8,
430,Steven Adams,31,HOU,C,36,2,12.8,1.5,2.8,0.535,0,0,,1.5,2.8,0.535,0.535,0.8,1.7,0.452,2.8,2.6,5.4,1.1,0.3,0.5,0.9,1.1,3.7,
431,Jamal Cain,25,NOP,SF,20,0,12.6,1.3,3.2,0.413,0.5,1.8,0.286,0.8,1.4,0.571,0.492,0.6,0.9,0.667,0.9,1.6,2.4,0.6,0.5,0.4,0.5,1.2,3.7,
432,Devin Carter,22,SAC,PG,16,0,9.9,1.2,3.8,0.311,0.5,1.9,0.258,0.7,1.9,0.367,0.377,0.8,1.1,0.722,0.4,2.1,2.5,1.3,0.3,0.2,0.5,0.9,3.7,
433,Damion Lee,32,PHO,SG,15,0,6.7,1.1,3.4,0.333,0.3,1.7,0.2,0.8,1.7,0.462,0.382,1.1,1.1,0.941,0.1,0.7,0.9,0.5,0.3,0,0.4,0.3,3.7,
434,Jevon Carter,29,CHI,PG,25,0,7.1,1.3,3.1,0.416,0.8,2.2,0.364,0.5,0.9,0.545,0.545,0.2,0.3,0.75,0.1,0.8,0.9,0.9,0.3,0,0.3,0.3,3.6,
435,Jeff Dowtin,27,PHI,PG,23,0,11.1,1.4,3.5,0.4,0.3,1,0.261,1.1,2.5,0.456,0.438,0.5,0.7,0.706,0.1,1,1.2,1.4,0.3,0.2,0.1,0.6,3.6,
436,Elijah Harkless,24,UTA,SG,9,0,15,1.2,3.9,0.314,0.8,2.8,0.28,0.4,1.1,0.4,0.414,0.3,0.7,0.5,1,1.3,2.3,0.9,1.1,0.1,0.3,1.9,3.6,
437,Gary Harris,30,ORL,SG,25,2,16,1.3,3.3,0.39,0.9,2.6,0.344,0.4,0.7,0.556,0.524,0.2,0.3,0.5,0.4,0.8,1.2,0.4,0.6,0.2,0.4,0.8,3.6,
438,Isaac Jones,24,SAC,PF,25,0,8.7,1.5,2.3,0.655,0,0.2,0.25,1.5,2.2,0.685,0.664,0.6,1,0.538,0.6,1,1.5,0.3,0.1,0.3,0.5,1,3.6,
439,DeAndre Jordan,36,DEN,C,38,2,11.8,1.6,2.5,0.653,0,0,,1.6,2.5,0.653,0.653,0.3,0.8,0.414,1.4,3.3,4.7,0.8,0.3,0.5,0.7,1.2,3.6,
440,Jarred Vanderbilt,25,LAL,PF,7,0,16.3,1.6,3.1,0.5,0.1,0.9,0.167,1.4,2.3,0.625,0.523,0.3,0.6,0.5,2.4,4.3,6.7,1.4,1.6,0.1,0.7,2,3.6,
441,Oso Ighodaro,22,PHO,PF,41,2,14.8,1.5,2.6,0.574,0,0,0,1.5,2.6,0.585,0.574,0.5,0.9,0.528,0.8,2.4,3.2,1,0.4,0.4,0.6,1.5,3.5,
442,Jock Landale,29,HOU,C,25,0,9.9,1.3,2.9,0.458,0.2,0.4,0.556,1.1,2.5,0.444,0.493,0.7,1.1,0.63,1.3,1.6,2.9,0.9,0.2,0.3,0.5,0.9,3.5,
443,Reed Sheppard,20,HOU,PG,37,0,11.7,1.3,4.2,0.306,0.7,2.6,0.274,0.6,1.7,0.355,0.389,0.2,0.3,0.9,0.4,1.1,1.5,1.1,0.6,0.4,0.6,0.9,3.5,
444,Bruno Fernando,26,TOR,C,17,2,8.6,1.5,2.9,0.531,0,0,,1.5,2.9,0.531,0.531,0.4,0.5,0.75,1.2,1.8,3,1.1,0.2,0.5,0.8,1.6,3.4,
445,Doug McDermott,33,SAC,SF,31,3,8.4,1.2,2.7,0.424,1,2.3,0.431,0.2,0.4,0.385,0.606,0.1,0.2,0.6,0.1,0.5,0.5,0.1,0.1,0,0.2,0.9,3.4,
446,Olivier-Maxence Prosper,22,DAL,PF,42,2,9.6,1.2,3,0.395,0.2,1,0.22,1,2,0.482,0.431,0.8,1.3,0.625,0.9,1.5,2.3,0.7,0.5,0.1,0.3,0.5,3.4,
447,Nicolas Batum,36,LAC,PF,50,1,17.2,1.1,2.8,0.387,0.9,2.3,0.376,0.2,0.5,0.44,0.542,0.2,0.3,0.786,0.7,2.2,2.8,1.3,0.6,0.4,0.4,1.5,3.3,
448,Cam Reddish,25,LAL,SF,31,8,18.1,1.2,2.8,0.43,0.4,1.5,0.289,0.8,1.3,0.585,0.506,0.5,0.8,0.615,0.5,1.5,2,0.7,1,0.3,0.4,1.4,3.3,
449,Moses Brown,25,IND,C,9,0,5.1,1.4,2.2,0.65,0,0,,1.4,2.2,0.65,0.65,0.3,0.6,0.6,0.4,1,1.4,0,0.2,0.1,0.7,0.7,3.2,
450,Luka Garza,26,MIN,C,21,0,5.3,1.3,2.8,0.458,0.2,1,0.238,1,1.8,0.579,0.5,0.4,0.6,0.75,0.7,0.7,1.4,0.2,0.1,0,0.3,0.7,3.2,
451,Wendell Moore Jr.,23,DET,SG,20,1,11,1.2,2.5,0.46,0.2,0.7,0.286,1,1.8,0.528,0.5,0.7,0.7,0.929,0.6,1.7,2.2,1.2,0.5,0.2,0.5,0.8,3.2,
452,Jabari Walker,22,POR,SF,37,1,10.1,1.3,2.9,0.453,0.2,0.9,0.206,1.1,1.9,0.569,0.486,0.4,0.7,0.615,0.8,2,2.8,0.5,0.5,0.1,0.5,1.2,3.2,
453,JT Thor,22,CLE,PF,9,0,4.7,1,1.7,0.6,0.3,0.7,0.5,0.7,1,0.667,0.7,0.8,0.9,0.875,0.3,0.3,0.7,0.1,0.2,0.3,0.7,0.7,3.1,
454,Blake Wesley,21,SAS,SG,31,0,9.3,1.2,2.6,0.463,0.1,0.7,0.19,1.1,2,0.557,0.488,0.5,0.7,0.739,0.2,0.5,0.7,1.9,0.5,0.1,0.9,0.5,3.1,
455,Orlando Robinson,24,2TM,C,17,0,8.9,1,2.6,0.378,0.1,0.6,0.1,0.9,2.1,0.457,0.389,0.9,1.3,0.727,0.8,1.5,2.2,0.9,0.4,0.2,0.6,1.3,3,
456,Orlando Robinson,24,SAC,C,9,0,6.3,0.8,1.9,0.412,0.1,0.6,0.2,0.7,1.3,0.5,0.441,0.4,0.8,0.571,0.3,1.2,1.6,1,0.3,0.1,0.4,0.7,2.1,
457,Orlando Robinson,24,TOR,C,8,0,11.9,1.3,3.5,0.357,0,0.6,0,1.3,2.9,0.435,0.357,1.5,1.9,0.8,1.3,1.8,3,0.9,0.4,0.3,0.8,2,4,
458,Adem Bona,21,PHI,C,36,1,10.9,1.1,1.6,0.702,0,0,,1.1,1.6,0.702,0.702,0.8,1.2,0.636,1,1.8,2.8,0.3,0.2,0.8,0.7,1.9,3,
459,Maxi Kleber,33,DAL,PF,34,4,18.7,1.1,2.8,0.385,0.4,1.4,0.265,0.7,1.4,0.511,0.453,0.5,0.6,0.762,0.7,2.1,2.8,1.3,0.3,0.5,0.7,1.9,3,
460,Taze Moore,26,POR,SG,2,0,10,1,5,0.2,0.5,2,0.25,0.5,3,0.167,0.25,0.5,1,0.5,2,2,4,0.5,1,0,1,0,3,
461,Craig Porter Jr.,24,CLE,PG,31,0,8.8,1.2,2,0.607,0.4,0.6,0.579,0.8,1.4,0.619,0.697,0.2,0.3,0.7,0.2,0.7,0.9,1.2,0.3,0.3,0.5,0.4,3,
462,Pat Spencer,28,GSW,PG,21,0,7.5,1.2,2.9,0.426,0.1,0.6,0.167,1.1,2.3,0.49,0.443,0.4,0.6,0.692,0.5,1,1.4,1.5,0.4,0.1,0.6,0.6,3,
463,Jaylon Tyson,22,CLE,SG,33,2,9.4,1.1,2.6,0.435,0.3,1,0.324,0.8,1.5,0.51,0.5,0.4,0.5,0.778,0.8,1.4,2.2,0.9,0.2,0.1,0.4,1.1,3,
464,TyTy Washington Jr.,23,PHO,PG,5,0,9.6,1.2,2.8,0.429,0.4,1.2,0.333,0.8,1.6,0.5,0.5,0.2,0.4,0.5,0.4,0.6,1,1.2,0.4,0,0.2,0.2,3,
465,Kobe Brown,25,LAC,PF,21,0,8,1.2,2.4,0.52,0.2,0.8,0.25,1,1.6,0.647,0.56,0.2,0.2,0.8,0.7,1.5,2.2,0.7,0.1,0.1,0.3,0.7,2.9,
466,Jae Crowder,34,SAC,PF,7,2,13.1,0.9,2.4,0.353,0.4,1.7,0.25,0.4,0.7,0.6,0.441,0.7,0.9,0.833,0.9,1.6,2.4,0.6,0.4,0,0.6,1.4,2.9,
467,Jalen Pickett,25,DEN,SG,23,0,9.8,1.1,2.7,0.426,0.6,1.3,0.419,0.6,1.3,0.433,0.533,0,0,1,0.2,0.8,1,1.7,0.2,0.1,0.3,0.6,2.9,
468,Landry Shamet,27,NYK,SG,20,0,10.2,1.2,2.7,0.426,0.5,1.6,0.313,0.7,1.1,0.591,0.519,0.1,0.3,0.4,0.3,0.5,0.8,0.5,0.5,0.1,0.4,0.7,2.9,
469,Tyler Smith,20,MIL,PF,15,0,5,1.1,2.3,0.5,0.5,1.3,0.4,0.6,0.9,0.643,0.618,0.1,0.3,0.5,0.3,1,1.3,0.3,0.1,0.2,0.4,0.5,2.9,
470,Dominick Barlow,21,ATL,SF,15,2,7.9,1.1,2.5,0.447,0.3,0.7,0.364,0.9,1.8,0.481,0.5,0.3,0.5,0.5,0.3,1.3,1.5,0.2,0.2,0.5,0.1,0.6,2.8,
471,Branden Carlson,25,OKC,C,17,0,5.8,1,2.2,0.459,0.7,1.7,0.414,0.3,0.5,0.625,0.622,0.1,0.1,1,0.3,1.2,1.5,0.4,0.1,0.4,0.1,0.6,2.8,
472,Caleb Houstan,22,ORL,SF,36,5,11.8,0.9,2.8,0.314,0.8,2.4,0.307,0.1,0.4,0.357,0.446,0.3,0.3,0.909,0.4,0.6,1,0.4,0.2,0.1,0.1,1,2.8,
473,Mason Jones,26,SAC,SG,5,0,5.6,1.2,2.4,0.5,0.2,1.2,0.167,1,1.2,0.833,0.542,0.2,0.4,0.5,0.4,1.2,1.6,1.8,0,0,0.2,0.2,2.8,
474,A.J. Lawson,24,TOR,SG,4,0,3.8,1,2,0.5,0.5,1.3,0.4,0.5,0.8,0.667,0.625,0.3,0.8,0.333,0.3,0.5,0.8,0,0,0,0,0,2.8,
475,Brandon Williams,25,DAL,PG,17,0,7.1,0.9,2.4,0.4,0.3,0.9,0.333,0.6,1.5,0.44,0.463,0.6,0.8,0.769,0.1,0.6,0.8,1.1,0.2,0,0.6,0.4,2.8,
476,AJ Johnson,20,2TM,SG,9,0,6.7,1.1,2.8,0.4,0.3,0.9,0.375,0.8,1.9,0.412,0.46,0.1,0.2,0.5,0,1,1,1.3,0.1,0,0.4,0.6,2.7,
477,AJ Johnson,20,MIL,SG,7,0,6.3,1.1,2.7,0.421,0.4,0.7,0.6,0.7,2,0.357,0.5,0.1,0.3,0.5,0,1,1,1,0.1,0,0.6,0,2.9,
478,AJ Johnson,20,WAS,SG,2,0,8,1,3,0.333,0,1.5,0,1,1.5,0.667,0.333,0,0,,0,1,1,2.5,0,0,0,2.5,2,
479,Karlo Matković,23,NOP,PF,14,1,11.7,1.1,2.3,0.469,0.2,0.6,0.375,0.9,1.7,0.5,0.516,0.4,0.4,1,1.3,2,3.3,0.6,0.6,0.9,0.8,1.6,2.7,
480,Drew Peterson,25,BOS,PF,14,0,9.1,0.9,1.8,0.48,0.6,1.4,0.421,0.3,0.4,0.667,0.64,0.4,0.5,0.857,0.4,1.6,1.9,0.8,0.1,0.1,0.4,0.9,2.7,
481,Jackson Rowe,28,GSW,PF,3,0,11,1,3.3,0.3,0.7,2.7,0.25,0.3,0.7,0.5,0.4,0,0.7,0,0,2.3,2.3,1,1,0,0,1.3,2.7,
482,Jeenathan Williams,25,HOU,SG,6,0,3.5,1.2,1.5,0.778,0.3,0.7,0.5,0.8,0.8,1,0.889,0,0,,0,0.5,0.5,0.2,0.3,0.2,0.2,0.2,2.7,
483,Collin Gillespie,25,PHO,PG,7,0,4.1,0.9,1.4,0.6,0.3,0.6,0.5,0.6,0.9,0.667,0.7,0.6,0.7,0.8,0.3,0.6,0.9,0.6,0.3,0.1,0.3,0.4,2.6,
484,John Konchar,28,MEM,SG,28,3,13.3,1,2.3,0.415,0.5,1.6,0.311,0.5,0.7,0.65,0.523,0.2,0.2,0.833,0.9,2.8,3.8,1,0.5,0.4,0.4,0.9,2.6,
485,Josh Minott,22,MIN,SF,31,0,7,1,2.2,0.471,0.2,0.9,0.241,0.8,1.3,0.641,0.522,0.3,0.4,0.818,0.2,0.8,1.1,0.4,0.4,0.3,0.2,0.9,2.6,
486,Taj Gibson,39,CHO,C,21,11,11,1,2.4,0.44,0,0.1,0.5,1,2.3,0.438,0.45,0.3,0.6,0.583,1.5,2,3.4,0.5,0.3,0.5,0.6,1.5,2.5,
487,E.J. Liddell,24,CHI,PF,6,0,5.2,0.8,1.3,0.625,0.5,1,0.5,0.3,0.3,1,0.813,0.3,0.3,1,0.2,0.7,0.8,0.5,0.2,0.2,0.3,1.3,2.5,
488,Rayan Rupert,20,POR,SG,35,0,7.9,0.9,2.2,0.41,0.3,1,0.286,0.6,1.2,0.512,0.474,0.4,0.5,0.722,0.6,0.6,1.1,0.5,0.2,0.1,0.5,0.5,2.5,
489,Trey Jemison,25,2TM,C,22,0,10,1,2,0.5,0,0,,1,2,0.5,0.5,0.4,1.1,0.36,1.2,1.6,2.8,0.5,0.4,0.5,0.6,1.8,2.4,
490,Trey Jemison,25,NOP,C,16,0,10.4,0.9,2,0.469,0,0,,0.9,2,0.469,0.469,0.5,1.3,0.381,1.4,1.4,2.8,0.6,0.4,0.4,0.6,1.7,2.4,
491,Trey Jemison,25,LAL,C,6,0,8.8,1.2,2,0.583,0,0,,1.2,2,0.583,0.583,0.2,0.7,0.25,0.7,2.3,3,0.3,0.2,0.7,0.5,2.2,2.5,
492,Delon Wright,32,2TM,PG,27,2,15.1,0.8,3,0.268,0.4,1.8,0.245,0.4,1.2,0.303,0.341,0.3,0.6,0.563,0.6,1.1,1.7,1.8,0.9,0.3,0.5,0.6,2.4,
493,Delon Wright,32,MIL,PG,26,2,15.6,0.8,3.2,0.268,0.5,1.9,0.245,0.4,1.3,0.303,0.341,0.3,0.6,0.563,0.6,1.2,1.8,1.8,0.9,0.3,0.5,0.7,2.5,
494,Delon Wright,32,NYK,PG,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,
495,Johnny Davis,22,WAS,SG,34,0,7.1,0.9,2.3,0.41,0.2,0.9,0.241,0.7,1.4,0.51,0.455,0.3,0.4,0.6,0.3,0.8,1.1,0.3,0.4,0.2,0.2,0.5,2.4,
496,Reece Beekman,23,2TM,PG,20,0,10.9,0.9,2.5,0.36,0.2,0.9,0.222,0.7,1.6,0.438,0.4,0.3,0.5,0.556,0.3,0.5,0.8,1.6,0.7,0.1,0.5,0.6,2.3,
497,Reece Beekman,23,GSW,PG,2,0,2,0.5,0.5,1,0,0,,0.5,0.5,1,1,0,0,,0.5,0,0.5,0.5,0.5,0,0,0.5,1,
498,Reece Beekman,23,BRK,PG,18,0,11.8,0.9,2.7,0.347,0.2,1,0.222,0.7,1.7,0.419,0.388,0.3,0.5,0.556,0.2,0.6,0.8,1.7,0.7,0.1,0.6,0.6,2.4,
499,Vlatko Čančar,27,DEN,PF,4,0,8.5,1,1.8,0.571,0.3,0.5,0.5,0.8,1.3,0.6,0.643,0,0,,0.8,1.3,2,0,0,0.3,0.5,1,2.3,
500,Lester Quiñones,24,PHI,SG,4,0,4.3,1,2,0.5,0,0.8,0,1,1.3,0.8,0.5,0.3,0.3,1,0.8,0.3,1,0.3,0,0,1,0,2.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
